filename,staticO0,dynamicO0,staticO1,dynamicO1,staticOz,dynamicOz,staticO2,dynamicO2,output_O0,output_O1,output_O2,output_Oz
extr_raspberry-pi-osexerciseslesson042bl4ckout31srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_linuxdriversmediai2cadv7511.c_edid_block_verify_crc.c,22,1421,14,522,14,651,34,167,0,0,0,0
extr_The-Art-Of-Programming-By-Julyebookcodec10.1.3：教你一步一步用c语言实现sift算法、下.c_normalizeVec.c,35,6391,25,2565,20,3072,81,717,,,,
extr_linuxdriversmiscaltera-staplaltera-jtag.c_altera_concatenate_data.c,149,24512,90,14305,90,14566,91,14306,,,,
extr_FFmpeglibavcodecdss_sp.c_dss_sp_update_buf.c,36,2616,21,376,20,1199,77,77,,,,
extr_raspberry-pi-osexerciseslesson045avenitosrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_FFmpeglibavcodecac3enc.c_count_frame_bits_fixed.c,105,15883,55,6269,52,5790,53,5311,,,,
extr_linuxdriverscryptoqatqat_commonqat_uclo.c_qat_uclo_calc_checksum.c,37,140,22,85,21,93,58,58,57840,57840,57840,57840
extr_labthird_partymdmd4c.c_MD4_memcpy.c,21,3326,14,1284,12,1538,94,232,,,,
extr_linuxdriversstagingrts5208general.c_bit1cnt_long.c,24,450,13,199,13,232,128,128,8,8,8,8
extr_reactosbaseapplicationsnetworknslookuputility.c_ExtractName.c,95,10686,84,2466,93,2867,185,543,394,394,394,394
extr_linuxdriversandroidbinder_alloc_selftest.c_is_dup.c,23,3328,15,1285,15,1541,15,1285,0,0,0,0
extr_disquedepshiredishiredis.c_seekNewline.c,41,4603,28,1293,32,1805,32,1550,,,,
extr_FFmpeglibswscaleswscale.c_chrRangeFromJpeg_c.c,31,5876,20,2814,20,3070,136,1426,,,,
extr_linuxdriversvideofbdevmatroxmatroxfb_accel.c_matrox_cfb8_pal.c,16,168,11,86,11,103,12,12,,,,
extr_FFmpeglibavcodecbgmc.c_bgmc_lut_fillp.c,22,189,18,93,20,142,20,110,,,,
extr_obs-studiolibobsobs-source-transition.c_calc_min_ts.c,24,42,15,23,15,26,16,16,0,0,0,0
extr_nginxsrccorengx_string.c_ngx_escape_json.c,98,13315,45,5482,43,5736,45,5482,67315361,67315361,67315361,67315361
extr_linuxdriversstagingrtlwifihalmachalmac_88xxhalmac_func_88xx.c_halmac_check_efuse_enough_88xx.c,138,4236,50,1360,47,1649,47,920,,,,
extr_raspberry-pi-osexerciseslesson021H-4ND-Hsrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_opensslsslpacket.c_put_value.c,32,4352,14,1030,14,1540,35,245,1,1,1,1
extr_reactosbaseapplicationsmstscbsops.c_bs_copy_memb.c,122,2864,44,710,38,696,91,733,,,,
extr_linuxdriversusbhostdwc_otgdwc_otg_cil.c_calc_num_out_eps.c,32,3899,19,1615,18,2072,48,1112,225,225,225,225
extr_FFmpeglibavcodectruemotion2.c_tm2_high_chroma.c,53,162,26,62,24,67,29,29,,,,
extr_reactosdllwin32oleaut32typelib.c_hash_guid.c,20,99,13,48,13,57,14,14,18,18,18,18
extr_linuxdriversstagingrtl8188eucorertw_ieee80211.c_rtw_get_ie.c,40,61,22,32,21,31,22,32,,,,
extr_FFmpeglibavfilteraf_adeclick.c_factorization.c,120,72864902,90,22664344,76,25395479,153,17383060,0,0,0,0
extr_FFmpeglibavcodecrv34dsp.c_rv34_inv_transform_dc_noround_c.c,31,224,19,100,18,121,12,12,,,,
extr_linuxdriversstagingrtl8192ertllib_crypt_ccmp.c_xor_block.c,22,3581,13,1283,11,1537,85,361,,,,
extr_linuxsoundpcictxfictresource.c_get_resource.c,55,7996,31,4162,28,3907,28,3651,0,0,0,0
extr_FFmpeglibavcodech261.c_h261_loop_filter.c,136,3509,85,1231,90,1655,177,436,,,,
extr_linuxdriversmediaplatformvividvivid-vbi-gen.c_cc_insert.c,54,266,20,74,20,82,51,51,,,,
extr_kphp-kdbtexttext-data.c_list_contained.c,48,167,35,109,41,120,38,112,0,0,0,0
extr_reactosbootfreeldrfreeldrlibinifileparse.c_IniGetSettingNameSize.c,46,5129,33,2573,23,2565,33,2573,256,256,256,256
extr_h2odepsklibtestkstring_bench2.c_BoyerMoore.c,62,5661,37,2327,41,2333,119,999,,,,
extr_FFmpeglibavcodeccavs.c_intra_pred_horiz.c,29,171,14,56,14,65,28,28,,,,
extr_swayswaydesktoplayer_shell.c_apply_exclusive.c,121,279,67,115,62,112,47,47,,,,
extr_darwin-xnubsdnetinetip_icmp.c_ip_next_mtu.c,34,149,20,67,20,78,38,38,68,68,68,68
extr_raspberry-pi-osexerciseslesson023evopensrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_linuxdriversstagingrtl8188eucorertw_security.c_construct_ctr_preload.c,81,362,42,92,47,193,52,52,,,,
extr_php-srcZendzend_bitset.h_zend_bitset_difference.c,26,4601,14,1538,12,1792,79,363,,,,
extr_darwin-xnubsdnetinet6in6.c_in6_mask2len.c,69,96,36,47,36,50,29,29,-1,-1,-1,-1
extr_emscriptentestsbox2dfreeglutfreeglut_joystick.c_fghJoystickRawRead.c,31,5771,18,1930,18,2410,68,216,,,,
extr_linuxdriversnetethernetxilinxxilinx_emaclite.c_xemaclite_aligned_read.c,68,2200,18,452,16,452,44,240,,,,
extr_linuxdriversthermalint340x_thermalint3406_thermal.c_int3406_thermal_get_index.c,29,3308,21,1281,19,1533,21,1281,0,0,0,0
extr_reactosdlldirectxwined3dx9_36preshader.c_pres_dot.c,27,4348,18,1542,16,1796,49,991,-215328349257455168.000000,-215328349257455168.000000,-215328349257455168.000000,-215328349257455168.000000
extr_php-srcextgdlibgdgd_interpolation.c_KernelBessel_J1.c,30,158,18,74,20,85,35,35,2701.122711,2701.122711,2701.122711,2701.122711
extr_darknetsrcgemm.c_gemm_bin.c,63,333061128,59,100271385,52,116787734,176,24261270,,,,
extr_emscriptentestscoretest_i64_2.c_returner2.c,18,52,19,43,12,32,14,34,591724835,591724835,591724835,591724835
extr_FFmpeglibavfiltervf_fspp.c_mul_thrmat_c.c,21,842,12,390,12,455,137,137,,,,
extr_kphp-kdbstatsxstatsx-data.c_serialize_list2a_raw.c,36,8694,24,2569,22,3078,92,402,,,,
extr_ccvlib3rdpartysqlite3sqlite3.c_btreeHeapInsert.c,51,279,22,87,20,100,29,101,,,,
extr_ccvlib3rdpartykissfftkissf_fft.c_kissf_fft_next_fast_size.c,53,179,56,122,30,98,54,118,256,256,256,256
extr_tenginesrccorengx_string.c_ngx_escape_json.c,98,13315,45,5482,43,5736,45,5482,67315361,67315361,67315361,67315361
extr_kphp-kdbmc-proxymc-proxy-statsx-extension.c_serialize_list2_raw_new.c,36,19182,20,7676,16,8635,20,7676,,,,
extr_FFmpeglibavcodecsnow_dwt.c_vertical_compose97iL1.c,32,5877,19,2559,19,2815,95,1169,,,,
extr_hashcatdepsLZMA-SDKCUtil7z7zMain.c_UInt64ToStr.c,57,2882,52,96,34,1574,62,108,,,,
extr_linuxdriversusbhostdwc_otgdwc_otg_pcd.c_assign_tx_fifo.c,32,105,22,56,22,64,22,56,6,6,6,6
extr_labenginecodeserversv_main.c_SV_ExpandNewlines.c,39,29632,26,11246,19,12265,27,12267,,,,
extr_reactosdlldirectxwined3dx9_36texture.c_make_pow2.c,19,71,12,44,12,44,12,44,256,256,256,256
extr_tenginemodulesngx_http_lua_modulesrcngx_http_lua_string.c_ngx_http_lua_ngx_escape_sql_str.c,80,10557,43,2601,49,4307,43,2601,77730828,77730828,77730828,77730828
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_ieee80211.c_rtw_get_rateset_len.c,18,144,13,91,12,90,13,91,13,13,13,13
extr_FFmpeglibavcodecacelp_filters.c_ff_tilt_compensation.c,44,4347,27,2557,21,2300,81,2611,,,,
extr_kphp-kdbutiltftp.c_tftp_fetch_string.c,32,4612,31,1551,19,1545,27,1547,-1,-1,-1,-1
extr_numpynumpycoresrcumathreduction.c_count_axes.c,24,3837,15,1285,14,1540,37,729,255,255,255,255
extr_openpilotpandaboardlibc.h_delay.c,14,2049,11,1284,10,1283,11,1284,,,,
extr_linuxdriversnetwirelessathath9kcommon.c_ath9k_cmn_count_streams.c,21,112,14,63,14,63,14,63,8,8,8,8
extr_php-srcZendzend_bitset.h_zend_bitset_subset.c,28,4603,17,1795,14,2048,17,1795,1,1,1,1
extr_FFmpeglibavfilterasrc_sinc.c_bessel_I_0.c,35,92,22,55,20,50,22,55,inf,inf,inf,inf
extr_raspberry-pi-osexerciseslesson022evopensrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_micropythonportsstm32usbhostClassMTPSrcusbh_mtp_ptp.c_PTP_GetString.c,36,7209,21,2889,16,2886,21,2889,,,,
extr_ccvlib3rdpartysqlite3sqlite3.c_btreeHeapPull.c,72,95,38,47,35,47,37,45,1,1,1,1
extr_raspberry-pi-osexerciseslesson053avenitosrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_linuxdriversmediadvb-frontendsdrxk_hard.c_Frac28a.c,45,173,28,88,28,113,64,64,268435456,268435456,268435456,268435456
extr_linuxdriversnetethernetamdariadne.c_memcpyw.c,30,2048,20,1028,17,901,20,1028,,,,
extr_linuxnettipcmonitor.c_dom_size.c,20,144,15,95,13,93,15,95,0,0,0,0
extr_linuxdriversmediai2cadv7511.c_hdmi_infoframe_checksum.c,22,3073,15,1031,13,1285,71,359,-29841299,-29841299,-29841299,-29841299
extr_linuxdriversstagingrtl8723bscorertw_security.c_construct_mic_header2.c,83,302,43,68,44,153,48,48,,,,
extr_darknetsrcstb_image.h_stbi__jpeg_dequantize.c,21,905,12,390,12,455,42,42,,,,
extr_linuxdriversgpudrmradeonr200.c_r200_get_vtx_size_1.c,25,102,17,62,17,69,38,38,3,3,3,3
extr_radare2librasmarchavravr_disasm.c_extractDataFromMask.c,42,388,25,208,25,218,39,188,255,255,255,255
extr_linuxdriversstagingrtl8188eucorertw_security.c_construct_mic_header2.c,83,302,43,68,44,153,48,48,,,,
extr_darwin-xnubsdnetnecp.c_necp_count_dots.c,23,3328,16,1794,14,2048,84,504,0,0,0,0
extr_linuxdriversisdnhisaxisar.c_insert_dle.c,28,5368,20,2814,16,2558,37,2053,,,,
extr_labenginecodeq3_uiui_atoms.c_UI_LerpColor.c,53,153,23,65,23,70,50,50,,,,
extr_linuxdriversvideofbdevudlfb.c_dlfb_lfsr16.c,31,6133,24,4088,22,4342,54,3204,23914,23914,23914,23914
extr_linuxtoolsperfutilintel-pt-decoderintel-pt-decoder.c_intel_pt_lower_power_of_2.c,18,74,15,39,12,44,15,39,128,128,128,128
extr_opensslcryptomodesctr128.c_ctr96_inc.c,25,223,14,91,13,90,49,49,,,,
extr_linuxdriversstagingrtl8712rtl871x_security.c_secmicputuint32.c,24,77,12,30,12,35,15,15,,,,
extr_linuxdriversstagingrtl8188eucorertw_ieee80211.c_rtw_get_rateset_len.c,18,152,12,72,12,86,31,31,13,13,13,13
extr_openpilotpandaboarddriversgmlan_alt.h_append_crc.c,53,6660,39,3213,37,3484,103,2497,270,270,270,270
extr_linuxdriversmtdnandrawsunxi_nand.c_sunxi_nfc_randomizer_step.c,28,4606,19,2051,14,2558,54,1502,224,224,224,224
extr_winfilesrclfnmisc.c_I_LFNEditName.c,64,13024,32,5878,32,6387,32,5878,0,0,0,0
extr_FFmpeglibavcodecsbrdsp.c_sbr_neg_odd_64_c.c,28,330,11,86,11,103,36,36,,,,
extr_stbtools..stb.h_stb_bitset_eq.c,25,3838,17,1541,15,1795,17,1541,1,1,1,1
extr_FFmpeglibavcodectakdsp.c_decorrelate_sr.c,28,5111,15,1539,14,1794,76,658,,,,
extr_emscriptentestssqlitesqlite3.c_estLog.c,20,83,17,41,14,46,17,41,8.000000,8.000000,8.000000,8.000000
extr_linuxsamplesbpflwt_len_hist_user.c_stars.c,43,6888,29,1545,27,2053,32,1548,,,,
extr_openpilotselfdrivelocationdget_vp.c_get_intersections.c,86,4217953,43,1296283,44,1426336,43,1295775,0,0,0,0
extr_disquedepshiredishiredis.c_intlen.c,20,40,19,39,18,34,19,39,3,3,3,3
extr_linuxfsnfsdnfs4recover.c_md5_to_hex.c,53,715,27,312,27,329,27,312,,,,
extr_emscriptensystemliblibcmuslsrcpasswdgetgr_a.c_itoa.c,33,69,24,56,18,38,24,56,,,,
extr_libgit2srcxdiffxutils.c_xdl_bogosqrt.c,16,45,15,30,10,27,15,30,16,16,16,16
extr_labthird_partymdmd5c.c_MD5_memcpy.c,21,3326,14,1284,12,1538,94,232,,,,
extr_linuxdrivershidhid-core.c_search.c,23,3585,14,1540,13,1539,14,1540,-1,-1,-1,-1
extr_os-tutorial21-shelllibcmem.c_memory_copy.c,21,3326,14,1284,13,1539,91,229,,,,
extr_linuxdriversmediaceccec-api.c_cec_validate_phys_addr.c,45,55,30,39,25,33,28,28,0,0,0,0
extr_nginxsrccorengx_string.c_ngx_filename_cmp.c,33,6131,22,3324,20,3324,22,3324,a,a,a,a
extr_linuxdriversusbserialpl2303.c_pl2303_encode_baud_rate_divisor.c,51,113,36,76,32,69,37,37,255,255,255,255
extr_reactosdlldirectxwined3dx9_36font.c_make_pow2.c,19,71,12,44,12,44,12,44,256,256,256,256
extr_h2odepshiredissds.c_sdsull2str.c,56,95,39,69,28,50,29,55,3,3,3,3
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_8.c,44,1602,35,1050,32,1114,75,502,,,,
extr_linuxarchs390bootals.c_u16_to_hex.c,36,113,20,59,20,64,39,39,,,,
extr_xhyvesrcpci_ahci.c_ahci_checksum.c,29,3576,20,1032,19,1286,77,225,,,,
extr_nodemcu-firmwareappmqttmqtt_msg.c_mqtt_get_total_length.c,47,66,28,36,25,34,28,36,2024,2024,2024,2024
extr_stbtestsprereleasestb_lib.h_stb_crc32_block.c,63,40964,40,20487,39,23049,94,4882,252192660,252192660,252192660,252192660
extr_FFmpeglibavcodecopusdsp.c_deemphasis_c.c,31,4860,16,1540,15,1795,44,986,0.000000,0.000000,0.000000,0.000000
extr_linuxdriversvideofbdevatafb_utils.h_fill16_col.c,21,3325,13,1283,11,1537,62,196,,,,
extr_FFmpeglibavcodecsnow_dwt.c_vertical_compose53iL0.c,29,5112,18,2304,17,2559,81,681,,,,
extr_masscansrcrand-primegen.c_doit4.c,61,503,36,204,31,250,36,204,,,,
extr_raspberry-pi-osexerciseslesson051bl4ckout31srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_darknetsrcblas.c_copy_cpu.c,27,4348,18,1542,18,1798,84,842,,,,
extr_reactosbaseapplicationsmstscbsops.c_bs_copy_mem.c,112,2854,39,705,35,741,50,716,,,,
extr_darwin-xnubsdnetkeykey.c_key_bbcmp.c,49,561,32,302,29,271,32,302,1,1,1,1
extr_linuxlibmpigeneric_mpih-sub1.c_mpihelp_sub_n.c,75,9727,27,2821,18,2812,47,2441,0,0,0,0
extr_linuxdriversinfinibandhwi40iwi40iw_verbs.c_i40iw_check_mem_contiguous.c,28,40,18,21,18,27,18,18,0,0,0,0
extr_linuxdriversstagingxgifbvb_setmode.c_XG21GPIODataTransfer.c,28,157,16,79,16,88,17,17,v,v,v,v
extr_obs-studiotesttest-inputsync-pair-vid.c_fill_texture.c,27,12617,17,4326,16,5383,19,360,,,,
extr_labthird_partymdmd5c.c_Encode.c,60,3276,23,716,19,777,23,716,,,,
extr_php-srcZendzend_bitset.h_zend_bitset_union_with_difference.c,32,5623,16,2048,14,2302,89,565,,,,
extr_gitgrep.c_end_of_line.c,33,9122,16,2406,15,3363,19,2409,,,,
extr_Mirai-Source-Codemiraibotkiller.c_mem_exists.c,40,5880,30,3328,28,3581,30,3328,0,0,0,0
extr_nginxsrccorengx_string.c_ngx_strnlen.c,23,3328,14,1284,12,1538,14,1284,255,255,255,255
extr_nodemcu-firmwareappmodulesbme680.c_ln.c,34,244,27,187,25,171,49,49,4.796863,4.796863,4.796863,4.796863
extr_FFmpeglibavfilteraf_aiir.c_multiply.c,98,14324,46,6142,41,6393,174,3984,,,,
extr_FFmpeglibavcodecsnow_dwt.c_vertical_compose97iH1.c,32,5877,19,2559,19,2815,95,1169,,,,
extr_linuxtoolstestingselftestssizeget_size.c_num_to_str.c,37,79,24,50,19,37,24,50,,,,
extr_reactossdktoolshhpcompchmcencint.h_chmc_encint.c,59,80,34,44,31,44,34,44,2,2,2,2
extr_os-tutorial18-interruptskernelutil.c_memory_set.c,21,3071,12,1028,10,1282,67,159,,,,
extr_reactosdllopenglmesaimage.c_gl_flip_bytes.c,54,11995,27,4853,25,5107,27,4853,,,,
extr_zstdtestsfuzzer.c_FUZ_highbit32.c,21,86,14,49,12,49,14,49,8,8,8,8
extr_The-Art-Of-Programming-By-Julyebookcodec2.6：求连续子数组的最大和.c_maxSubArray.c,49,7672,23,2055,24,2312,41,1931,29841555,29841555,29841555,29841555
extr_gitsha1-name.c_msb.c,16,75,16,46,10,42,16,46,7,7,7,7
extr_FFmpeglibavcodeclossless_videodsp.c_add_bytes_c.c,54,1054,34,484,29,519,84,514,,,,
extr_FFmpeglibavcodecac3enc.c_ff_ac3_adjust_frame_size.c,65,81,37,40,35,42,34,36,,,,
extr_linuxdriversnetethernetintelfm10kfm10k_tlv.c_fm10k_tlv_attr_get_null_string.c,39,9127,27,4807,26,5764,49,4571,0,0,0,0
extr_linuxfsadfsdir_f.c_adfs_readname.c,44,84,29,37,18,32,29,37,2,2,2,2
extr_linuxdriversstagingwilc1000coreconfigurator.c_get_current_channel_802_11n.c,27,49,18,24,16,25,18,24,0,0,0,0
extr_reactoswin32ssgdintgdipalette.c_GetNumberOfBits.c,18,97,12,40,12,63,12,40,,,,
extr_linuxsoundcoreseqseq_midi_event.c_extra_decode_xrpn.c,98,214,56,104,55,105,86,86,12,12,12,12
extr_reactosmodulesrostestswinetestsdplayxdplayx.c_dpid2char.c,26,3331,17,1287,16,1542,17,1287,l,l,l,l
extr_opensslcryptoeccurve25519.c_fe51_cswap.c,37,143,17,57,17,63,40,40,,,,
extr_raspberry-pi-osexerciseslesson044rssrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_linuxdriversinfinibandhwbnxt_remain.c_bnxt_re_parse_cid_map.c,37,58,18,26,19,29,18,18,,,,
extr_linuxsoundisawavefrontwavefront_synth.c_munge_int32.c,27,4602,15,1793,13,2047,44,1236,,,,
extr_gitbisect.c_log2i.c,16,72,15,45,10,42,15,45,7,7,7,7
extr_os-tutorial22-malloclibcmem.c_memory_copy.c,21,3326,14,1284,13,1539,91,229,,,,
extr_linuxarchsparckernelpci.c_apb_calc_first_last.c,42,210,22,106,22,115,61,61,,,,
extr_FFmpeglibavcodecmss1.c_arith_get_prob.c,60,146,42,92,42,92,42,92,11,11,11,11
extr_radare2librasmp..archavravr_disasm.c_extractDataFromMask.c,42,388,25,208,25,218,39,188,255,255,255,255
extr_linuxdriversisdnhardwareeiconcapidtmf.c_capidtmf_goertzel_loop.c,81,8466,66,4892,62,5145,101,4133,,,,
extr_raspberry-pi-osexerciseslesson042avenitosrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_h2odepspicotlsdepscifrasrctestmodes.c_fill.c,22,3581,13,1283,11,1537,90,480,,,,
extr_hashcatsrcshared.c_get_msb32.c,22,353,13,181,11,155,23,133,8,8,8,8
extr_linuxdriverssnioc3.c_crc16_byte.c,37,202,21,105,21,114,83,83,,,,
extr_linuxdriversvideofbdevmetronomefb.c_calc_img_cksum.c,22,3584,14,1030,12,1284,77,229,29841555,29841555,29841555,29841555
extr_linuxdriversstagingrtl8723bshalhal_com.c_isAllSpaceOrTab.c,32,4861,19,1543,17,1797,46,988,0,0,0,0
extr_linuxdriversstagingrtl8712rtl871x_security.c_bitwise_xor.c,23,250,12,102,12,119,52,52,,,,
extr_linuxdriversstagingrtlwifirtl8822bephy.c__rtl8822be_eq_n_byte.c,25,3329,14,1286,14,1286,14,1286,1,1,1,1
extr_raspberry-pi-osexerciseslesson033bl4ckout31srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_labenginecoderenderergl1tr_image.c_R_BlendOverTexture.c,58,7935,33,4605,34,4862,33,4605,,,,
extr_emscriptentestssqlitespeedtest1.c_swizzle.c,23,130,17,73,13,71,17,73,255,255,255,255
extr_obs-studiolibobsgraphicsgraphics.h_gs_get_total_levels.c,26,94,18,60,12,44,16,46,7,7,7,7
extr_mimikatzmodulessqlite3_omit.c_sqlite3Pow10.c,27,135,21,75,14,67,21,75,1000000000000000405203471749632345419882149767845446218224763610173108155667148144548206983510949786648805142042101637107774405017306152425933592546209857769066644399783611472878653553319548469570575175566489928833096292883906673461747518354468587362582528.000000,1000000000000000405203471749632345419882149767845446218224763610173108155667148144548206983510949786648805142042101637107774405017306152425933592546209857769066644399783611472878653553319548469570575175566489928833096292883906673461747518354468587362582528.000000,1000000000000000405203471749632345419882149767845446218224763610173108155667148144548206983510949786648805142042101637107774405017306152425933592546209857769066644399783611472878653553319548469570575175566489928833096292883906673461747518354468587362582528.000000,1000000000000000405203471749632345419882149767845446218224763610173108155667148144548206983510949786648805142042101637107774405017306152425933592546209857769066644399783611472878653553319548469570575175566489928833096292883906673461747518354468587362582528.000000
extr_gitbisect.c_sqrti.c,35,167,26,116,25,115,26,116,15,15,15,15
extr_linuxdriversmtdnandrawnand_base.c_nand_id_has_period.c,24,3583,22,1800,22,2056,19,2051,1,1,1,1
extr_brotlicencentropy_encode.c_BrotliReverseBits.c,39,1220,23,519,21,581,60,410,0,0,0,0
extr_raspberry-pi-osexerciseslesson041avenitosrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_Mirai-Source-Codeloadersrcutil.c_util_memsearch.c,40,5622,30,3328,29,3582,30,3328,255,255,255,255
extr_reactossdklibrtlres.c_push_language.c,31,3336,16,1286,14,1540,16,1286,256,256,256,256
extr_FFmpeglibavcodecsanm.c_fill_frame.c,20,3328,13,1029,11,1283,69,161,,,,
extr_redisdepshiredissds.c_sdsull2str.c,56,95,39,69,28,50,29,55,3,3,3,3
extr_kphp-kdbdnsdns-data.c_array_reverse.c,34,3061,20,1154,16,1152,20,1154,,,,
extr_reactosmodulesrosappsapplicationsnettsclientrdesktopuiportssvgawin.c_copy_mem.c,112,2854,39,705,35,741,43,709,,,,
extr_stbtools..stb.h_stb_adler32.c,129,2250,84,714,59,762,119,731,-1150258117,-1150258117,-1150258117,-1150258117
extr_darknetsrcblas.c_mult_add_into_cpu.c,26,4347,16,1794,15,2049,106,506,,,,
extr_FFmpeglibavcodecsnow_dwt.c_vertical_decompose97iL1.c,31,5622,19,2559,19,2815,95,1169,,,,
extr_emscriptensystemliblibcmuslsrcregexregexec.c_tre_tag_order.c,39,7154,22,2816,23,2819,22,2816,0,0,0,0
extr_linuxdriversnethamradiomkiss.c_kiss_esc.c,49,6913,24,2818,21,3071,45,2439,257,257,257,257
extr_libuvtestrunner.c_fmt.c,88,197,75,168,64,135,78,165,,,,
extr_FFmpeglibavcodecsnow_dwt.c_vertical_decompose97iH0.c,32,5877,19,2559,19,2815,95,1169,,,,
extr_os-tutorial17-video-scrollkernelutil.c_memory_copy.c,21,3326,14,1284,13,1539,106,140,,,,
extr_php-srcextstandardcrypt_freesec.c_setup_salt.c,39,430,21,205,21,230,33,173,,,,
extr_linuxdriversiiohumidityam2315.c_am2315_crc.c,44,36829,24,20153,22,22448,62,13270,27974,27974,27974,27974
extr_raspberry-pi-osexerciseslesson032rssrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_linuxdriversstagingrtl8723bscorertw_security.c_secmicputuint32.c,24,77,12,30,12,35,15,15,,,,
extr_raspberry-pi-osexerciseslesson021zjd0112srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_raspberry-pi-ossrclesson05srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_linuxdriversstagingrtl8712rtl871x_security.c_xor_32.c,23,70,12,30,12,35,16,16,,,,
extr_raspberry-pi-osexerciseslesson022avenitosrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_linuxdriversnetethernetcaviumliquidioocteon_droq.c_octeon_droq_compute_max_packet_bufs.c,25,2676,18,1223,14,1219,15,1220,,,,
extr_masscansrccrypto-blackrock2.c_bit_count.c,16,75,12,47,11,46,12,47,7,7,7,7
extr_FFmpeglibavcodecsnow_dwt.c_vertical_decompose97iH1.c,31,5622,19,2559,19,2815,95,1169,,,,
extr_kphp-kdbstatsxstatsx-data.c_serialize_list_raw.c,34,3847,21,1291,21,1547,89,253,,,,
extr_linuxdriversvideofbdevcorefbcon_cw.c_cw_update_attr.c,67,428947,60,290175,53,303911,62,290405,,,,
extr_FFmpeglibavcodecjpeg2000dwt.c_extend97_float.c,36,122,23,59,23,64,36,36,,,,
extr_os-tutorial23-fixeslibcmem.c_memory_set.c,21,3071,12,1028,10,1282,67,159,,,,
extr_kphp-kdbgeoipgeoip_v6.c_deg2.c,19,2562,10,772,12,1030,31,349,57896044618658097711785492504343953926634992332820282019728792003956564819968.000000,57896044618658097711785492504343953926634992332820282019728792003956564819968.000000,57896044618658097711785492504343953926634992332820282019728792003956564819968.000000,57896044618658097711785492504343953926634992332820282019728792003956564819968.000000
extr_raspberry-pi-osexerciseslesson033rssrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_darknetsrcblas.c_const_cpu.c,22,3327,15,1031,14,1286,61,505,,,,
extr_linuxnetmac80211wpa.c_ieee80211_crypto_cs_pn_compare.c,34,5624,16,2304,15,2049,15,2049,0,0,0,0
extr_linuxdriversatmhe.c_rate_to_atmf.c,28,84,22,52,17,49,22,52,20476,20476,20476,20476
